Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/25/2015,Consumer Loan,Installment loan,Taking out the loan or lease,,"I received dental procedures and the office manager explained how much it would cost and advised that my insurance would pay for the majority of the procedure given. I only received a XXXX and a XXXX, which cost almost {$10000.00}. It was my understanding that I only needed additional money to complete additional XXXX services, therefore, I was advised to sign up for Care Credit. I really did n't understand the way it was explained to me and the office manager called my mother over the phone to co-sign. The way it was explained was too complicated and not easily understood by me or my mother. I thought that the Care Credit would only be used for future XXXX services, but come to find out that not only was all of my health insurance benefits used, but also the full balance of the Care Credit card. Now, my mother and I have a judgment on our credit for the full balance of the Care Credit card, because I could not afford the payments and I was sued. I did n't understand how much the payments would be, nor the total amount that would be used. The office manager never gave me a copy of the documents either.",,SYNCHRONY FINANCIAL,TN,374XX,,Consent provided,Web,09/01/2015,Closed with explanation,Yes,No,1535285
06/18/2014,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,,,ENCORE CAPITAL GROUP INC.,DE,19947,Older American,N/A,Web,06/18/2014,Closed with non-monetary relief,Yes,No,900249
01/25/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,79902,,N/A,Web,01/26/2012,Closed without relief,Yes,Yes,11621
06/10/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,JPay Inc.,CA,93960,,N/A,Postal mail,06/14/2016,Closed,Yes,No,1964349
01/30/2018,Checking or savings account,Checking account,Managing an account,Cashing a check,,,JPMORGAN CHASE & CO.,CA,94070,,Consent not provided,Web,01/30/2018,Closed with explanation,Yes,N/A,2798415
10/07/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,I wrote Equifax over 6 weeks ago. They have not responded to my request for an investigation.,,"EQUIFAX, INC.",SC,293XX,,Consent provided,Web,10/07/2016,Closed with explanation,Yes,No,2151578
03/10/2017,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98532,"Older American, Servicemember",N/A,Fax,03/14/2017,Closed with explanation,Yes,No,2381695
01/12/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"CARRINGTON MORTGAGE SERVICES, LLC",MA,02302,,N/A,Referral,01/14/2016,Closed with explanation,Yes,No,1739551
03/24/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"I got recent modification ( XXXX/XXXX/2015 ) for my mortgage from OCWEN SERVICES for my house located at XXXX XXXX XXXX, XXXX, Tx. XXXX. OCWEN are adding something to the principal and I think is too much money added. Can you please help me to clarify with them what kind charges in addition to this mortgage loan. 

Thanks XXXX XXXX",,OCWEN LOAN SERVICING LLC,TX,774XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,No,1297495
01/08/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33426,,N/A,Web,01/12/2015,Closed with monetary relief,Yes,No,1185862
04/03/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98052,,N/A,Referral,04/04/2017,Closed with explanation,Yes,No,2416625
08/20/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",HI,96732,,N/A,Referral,08/25/2014,Closed with explanation,Yes,Yes,993459
09/06/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Dynamic Recovery Solutions, LLC",MO,64110,,N/A,Phone,09/06/2013,Closed with explanation,Yes,No,517631
09/11/2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,"Convergent Resources, Inc.",MN,55378,,Consent not provided,Web,09/11/2015,Closed with explanation,Yes,No,1560214
07/22/2015,Money transfers,International money transfer,Other transaction issues,,"i opened a new paypal account and went to my local XXXX and bought a paypal cash card which i put {$100.00} on came home and added the card pin to my account which put the {$100.00} on my paypal then i sent a friend that lives in the XXXX {$99.00} and pay pal charged me XXXX cents to send so a total of {$99.00} the transaction was complete go and log into my paypal account to find paypal locked it saying thisResolution Center - Case Reversal DetailsPayPal is constantly monitoring site activity and reviewing transactions. 

This payment has been selected for review and we have opened an investigation. 

Inquiry by PayPal - Case ID : XXXXXXXXStatus : Being Reviewed By PayPalTransaction ID : XXXXSeller Name & Email : XXXX XXXX, XXXXXXXXTransaction Amount : - {$99.00} USDTransaction Date : XXXX XXXX, 2015Dispute History Log - Most Recent XXXXThe Dispute History Log displays all actions related to your claim.Date Actor Action DetailsXXXX XXXX, 2015 Seller Response received from sellerXXXX XXXX, 2015 PayPal Email sent to sellerso my friend complied to their email needing info and i emailed paypal and got a responce saying they are not taking the hold on my account off that now i have to wait 180 days to even get my money and wont explain to me what is going on",Company believes it acted appropriately as authorized by contract or law,PAYPAL HOLDINGS INC.,FL,327XX,,Consent provided,Web,07/22/2015,Closed with non-monetary relief,Yes,No,1481001
03/27/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,I received a inquiry alert from Experian on XXXX/XXXX/2017 in regards to XXXX inquiring and accessing my Experian credit report. The inquiry from XXXX is an authorized and fraudulent inquiry. It do n't belong to me.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,ND,582XX,Servicemember,Consent provided,Web,03/27/2017,Closed with non-monetary relief,Yes,No,2405807
07/10/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Caliber Home Loans, Inc.",PA,18940,,Consent not provided,Web,07/10/2016,Closed with non-monetary relief,Yes,No,2005404
12/09/2015,Money transfers,Domestic (US) money transfer,Other transaction issues,,"Recently, my daughter and I settled on a house she was purchasing for herself and I was selling on behalf of my parents ' estate. My now-deceased father had a reverse mortgage ; so, essentially, my daughter refinanced the home in her name. Throughout the process of my daughter obtaining a loan from her financial lender, the reverse mortgage company and it 's attorneys pursued foreclosure. During the process of attempting to take over the property and without the knowledge of the estate, the reverse mortgage company made a highly unusual payment of taxes on the property. As the personal representative over the estate, I also paid the taxes. I was later informed through the title company that the taxes were current through XXXX 2016 and that the overage would have to be settled on the day of closing. However, instead of the title company XXXX XXXX XXXX XXXX of XXXX XXXX Maryland XXXX remitting a check due back to me as the seller on behalf of the estate, XXXX XXXX XXXX illegally credited the reverse mortgage company money including part of what the estate had paid. In an email message to the reverse mortgage company requesting the refund due to the estate, I copied the title company. The title company 's representative was very rude responding to the message. However, in her rude response, she states that the money is/was due to the seller. XXXX XXXX in representing XXXX XXXX XXXX used her position at the company to require my daughter to send money to XXXX XXXX in order to close on the desired property. She also used her position to illegally falsify documents in order to credit the reverse mortgage company and finally made an unauthorized wire of funds to the reverse mortgage company that was due to the seller/estate. The actions of XXXX XXXX Company and/or it 's representatives lead me to question how many times they have falsified documents in hope and anticipation of the seller and buyer 's lack of knowledge. Please address this current issue with XXXX XXXX Company. Additionally, an audit of their previous records and dealings should be conducted.",,PNC Bank N.A.,MD,207XX,,Consent provided,Web,12/09/2015,Closed with explanation,Yes,No,1688961
03/14/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,36420,Servicemember,N/A,Phone,03/14/2016,Closed with explanation,Yes,Yes,1831691
12/30/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"I was late on my mortgage payments and decided to sell my property, however I have a XXXX tax lien hold that I have been trying to clear form IRS as a lien hold on my house, NOW that I have finally fixed the issue and have a buyer that will buy my house AS IS, the lender Wells Fargo is NOT being cooperative and taking too long for the process plus they have put me in FORECLOSURE status and NOT willing to extend my DUE date of XXXX XXXX 2016 ... On top of HOLIDAYS!!",Company chooses not to provide a public response,WELLS FARGO & COMPANY,AZ,850XX,,Consent provided,Web,12/30/2015,Closed with explanation,Yes,No,1723060
07/19/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CT,06001,Older American,N/A,Postal mail,07/20/2016,Closed with non-monetary relief,Yes,No,2020523
09/11/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"CAINE & WEINER COMPANY, INC.",IN,46217,,N/A,Web,09/14/2013,Closed with explanation,Yes,Yes,523690
03/28/2016,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,Requested a payoff quote by fax and certified mail over 30 days ago. Will not provide.,,"CITIBANK, N.A.",WY,829XX,,Consent provided,Web,03/30/2016,Closed with non-monetary relief,Yes,No,1853003
04/05/2017,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20746,,N/A,Referral,04/06/2017,Closed with non-monetary relief,Yes,No,2421775
11/09/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"SENECA MORTGAGE SERVICING XXXX XXXX XXXX XXXX, NY XXXX REQUEST : SENECA TO STOP COLLECTING PMI, AND REFUND ALL PAID PMI Our mortgage loan from XXXX was transfered to XXXX XXXX XXXX XXXX ( XXXX ), on XXXX XXXX. 
XXXX XXXX XXXX XXXX ( XXXX ) according the PROMISSORY NOTE reduced all ESCROW COLLECTIONS FROM {$200.00} to {$87.00}, for period until XXXX XXXX, and ELIMINATED Private Mortgage Insurance ( PMI ). An ANNUAL ESCROW ACCOUNT DISCLOSURE STATEMENT was sent to us, from XXXX on XXXX/XXXX/XXXX, with effective XXXX/XXXX/XXXX, and monthly payment {$940.00}. Shortly thereafter, XXXX transferred servicing right to SENECA MORTGAGE SERVICING LLC. 
On XXXX XXXX SENECA confirmed this transfer, and WROTE THAT NOTHING WOULD BE CHANGE IN OUR LOAN. We paid monthly {$940.00} monthly to SENECA ( look Mortgage Statement from XXXX XXXX ). 
But, later began to send letters for payment, and without any reason ADDED PMI, AGAINST THE PROMISSORY NOTES, INCREASED EVERY FOUR MONTHS, OUR MONTHLY PAYMENT, ANY OUR REMARK OR REQUEST TO STOP INCREASING THE MONTHLY PAYMENT, SENECA IGNORED! 
PMI is not INCLUDED in PROMISSORY NOTE, and SENECA HAS NOT RIGHT TO TAKE THIS. 
In the letter from XXXX, from XXXX XXXX is this explaned, also! 
WE ARE ENTITLED TO A REFUND OF ALL PMI PAID! 
IF SENECA AGAIN IGNORED TO SATISFIED OUR REQUEST, THIS CASE WOULD BE ACCORDING ARIZONA DEPARTMENT OF FINANCIAL INSTITUTION, SUBJECT TO THE COURT! 

******** AFTER THIS LETTER, WE CONTACTED XXXX XXXX, AS LOAN GIVER-INVESTOR TO HELP US, BUT XXXX XXXX NEVER GOT ANY ANSWER FROM SENECA. 
We pressed SENECA, TO STOP INCREASING OF OUR MONTHLY PAYMENT, XXXX ASKED TO RETURN ALL IRREGULAR TAKEN MONEY FOR ADDED PMI IN OUR LOAN, BUT WE NEVER GOT ANSWER FROM THEM. 
ON XXXX, we got the letter from SENECA , THAT SENECA SOLD-TRANSFERED OUR LOAN TO "" XXXX '' MORTGAGE LLC. ( look letter from XXXX/XXXX/XXXX ). Probably to avoid following consequences! 
We contacted XXXX XXXX in XXXX, XXXX and XXXX many times but they could not do anything. 
In between, XXXX asked for payment the loan, and never want to TALK WITH US. WE WANTED NO TO BE LATE WITH OUR PAYMENT AND SENT PAYMENTS, FOR THESE MONTHS, to "" XXXX XXXX ''. WE ARE NEVER IN ANY DEPTH AND NEVER LATE WITH OUR PAYMENT. 
iN FACT, SENECA TOOK MORE MONEY FROM US, ADDED PMI, since XXXX XXXX to XXXX XXXX. We need this money back, and all reduction in our loan.",,Arbor Residential Mortgage LLC,AZ,850XX,Older American,Consent provided,Web,11/09/2016,Closed with explanation,Yes,Yes,2201719
04/29/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,49505,,N/A,Web,04/29/2014,Closed with explanation,Yes,Yes,829051
04/04/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,NJ,08902,,N/A,Referral,04/05/2017,Closed with explanation,Yes,No,2418794
04/04/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD BANK US HOLDING COMPANY,NY,10309,,N/A,Email,04/25/2012,Closed without relief,Yes,No,37224
10/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,,,"Wilber and Associates, P.C.",NY,10801,Servicemember,Consent not provided,Web,10/13/2016,Closed with explanation,Yes,No,2158698
11/01/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30122,,N/A,Web,11/05/2012,Closed with explanation,Yes,No,182479
04/08/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60074,,N/A,Referral,04/10/2014,Closed with explanation,Yes,No,798528
05/17/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11501,,N/A,Referral,05/18/2012,Closed without relief,Yes,No,82678
03/14/2014,Credit card,,Other,,,,WELLS FARGO & COMPANY,,,,N/A,Fax,03/19/2014,Closed with monetary relief,Yes,No,768058
05/09/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,,"EQUIFAX, INC.",PA,17019,,N/A,Postal mail,05/10/2017,Closed with explanation,Yes,N/A,2480232
09/09/2014,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32926,,N/A,Web,09/09/2014,Closed with explanation,Yes,No,1020883
09/05/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",HI,96707,,N/A,Web,09/07/2012,Closed with explanation,Yes,No,147148
08/20/2014,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Bull City Financial Solutions, Inc",NC,27344,Older American,N/A,Web,08/20/2014,Closed with explanation,No,No,992626
03/16/2016,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"The first communication that I received from the debt collector was a court summons delivered to my mother in laws home. I received the summons in hand a week later from her. The summons stated that i alledgedly owed money to the debt collector. There was no advisement that I had the right to dispute the debt and that I had 30 days to demand that the debt collector validate the debt. I then attempted to demand validation of the debt after doing online research. i sent a certified letter 9 days ago on XXXX XXXX, 2016. The post office told me today, XXXX XXXX, 2016 at approximately XXXX XXXX that the certified letter had been attempted to be delivered on XXXX XXXX, 2016 ( 2 days after I mailed it ) but was not accepted by the debt collector. So as of today, XXXX XXXX, 2016 I am withoyut knowledge or information sufficient to form an opinion as to the truth and accuracy of the claim and based on that i deny generally and specifically the claim of debt to this collector.",,"Blatt, Hasenmiller, Leibsker & Moore, LLC",IN,474XX,Servicemember,Consent provided,Web,03/16/2016,Closed with explanation,Yes,No,1835828
08/05/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,27377,,N/A,Referral,08/08/2013,Closed with explanation,Yes,No,474128
03/20/2016,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,,Company believes it acted appropriately as authorized by contract or law,BYL Collection Services,DE,19808,,Consent not provided,Web,03/21/2016,Closed with explanation,Yes,No,1840674
04/15/2015,Credit card,,Billing disputes,,,,CAPITAL ONE FINANCIAL CORPORATION,AZ,85704,,N/A,Referral,04/20/2015,Closed with monetary relief,Yes,No,1331806
01/03/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,NC,28205,,N/A,Web,01/07/2013,Closed with explanation,Yes,Yes,221633
01/07/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,"CITIZENS FINANCIAL GROUP, INC.",MI,48363,,N/A,Web,01/07/2014,Closed with explanation,Yes,Yes,658098
05/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,CA,94539,,N/A,Phone,05/30/2013,Closed with monetary relief,Yes,No,418678
10/31/2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,CA,91601,Older American,N/A,Phone,10/31/2016,Closed with explanation,Yes,No,2187992
08/05/2016,Payday loan,,Can't stop charges to bank account,,,,"Mobiloans, LLC",NV,891XX,,Other,Web,08/09/2016,Untimely response,No,No,2047780
10/16/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,REGIONAL MANAGEMENT CORPORATION,SC,29038,,N/A,Web,10/22/2014,Closed with explanation,Yes,No,1074991
03/15/2017,Credit card,,Billing disputes,,,,DISCOVER BANK,MO,63146,,N/A,Referral,03/16/2017,Closed with non-monetary relief,Yes,No,2387605
06/15/2015,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"We are in a hardship and received a letter regarding bringing our account current by XXXX XXXX, 2015 to avoid foreclosure proceedings. When I called on XXXX XXXX, 2015 XXXX to make the payment to bring the account completely current per Citi 's letter, I first spoke with XXXX. He transferred me to XXXX and at approximately XXXX, I was told "" it did n't matter '' and that "" I was in "" their '' department now. '' I could make payments, but it would n't mean anything. XXXX was extremely rude and condescending. I asked to talk to a manager and she said "" MANAGERS DO N'T TAKE CALLS ''. She kept condescendingly saying we had n't made any payments. We have. I told her this and she said "" well it was n't enough and you 're in our department now. '' When I asked why they were not honoring what they had sent IN WRITING to resolve the delinquency she said "" their department '' did n't write it, she did n't know who did, THAT LETTER MEANS NOTHING and just kept repeating herself.",,"CITIBANK, N.A.",MO,633XX,,Consent provided,Web,06/15/2015,Closed with non-monetary relief,Yes,No,1421473
06/11/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,CA,92101,,Other,Web,06/17/2015,Closed with explanation,Yes,Yes,1417629
09/28/2012,Credit card,,Advertising and marketing,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,22153,Older American,N/A,Web,09/28/2012,Closed with explanation,Yes,No,163643
02/23/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,TX,79925,,N/A,Referral,02/27/2015,Closed with explanation,Yes,Yes,1252115
03/06/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Franklin Collection Service, Inc.",TN,37211,,N/A,Web,03/12/2015,Closed with explanation,Yes,No,1271988
04/28/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,GA,30032,,N/A,Referral,04/30/2014,Closed with explanation,Yes,No,829364
01/14/2016,Bank account or service,Checking account,Deposits and withdrawals,,,,CAPITAL ONE FINANCIAL CORPORATION,MD,21704,,N/A,Referral,01/15/2016,Closed with explanation,Yes,Yes,1740552
05/12/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",GA,30643,Older American,Consent not provided,Web,05/12/2016,Closed with explanation,Yes,No,1921851
03/06/2017,Credit reporting,,Incorrect information on credit report,Account status,"XXXX has wrongfully placed an account in collections. XXXX has indicated that I owed {$1700.00} for water bills at XXXX. This is absolutely false. All of the bills were in good standing upon leaving. This company bulldogged and bullied me into leaving the property. They initiated an eviction on me when all of the rents were paid on time. Elite home management has placed this account in collection with National Credit Systems. I would like this account removed from collections immediately. Attached is full documentation that this account was paid in full. Additionally, XXXX kept my deposit. I would like to request my deposit be returned as I left the property in good standing and was NEVER late paying monthly rent. Please see all attached documentation. Furthermore, the claim that XXXX is stating I owe monies for a water bill is false. The amount started in XXXX of 2012. The account was never placed in my name and started with a balance of over {$700.00}! XXXX presented false documents to the court in order to have me evicted from the property. I 'm requesting that this is immediately removed from my credit report and handled outside of a credit reporting agency as these claims are false!",Company believes it acted appropriately as authorized by contract or law,"National Credit Systems,Inc.",GA,300XX,,Consent provided,Web,03/08/2017,Closed with explanation,Yes,No,2373228
04/07/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,06484,,N/A,Referral,04/07/2017,Closed with monetary relief,Yes,No,2425815
09/21/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92591,,N/A,Postal mail,09/24/2012,Closed with explanation,Yes,No,156975
08/18/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",MD,21207,,Consent not provided,Web,08/18/2015,Closed with explanation,Yes,No,1524019
06/15/2015,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,SANTANDER CONSUMER USA HOLDINGS INC.,TX,78681,,Consent not provided,Web,06/19/2015,Closed with explanation,Yes,Yes,1422283
01/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,28262,,N/A,Web,08/09/2013,Closed with explanation,Yes,Yes,283132
10/09/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ALLY FINANCIAL INC.,AZ,85050,,N/A,Postal mail,10/09/2013,Closed with explanation,Yes,Yes,555846
05/27/2015,Mortgage,Other mortgage,Other,,,,NATIONSTAR MORTGAGE,AL,35124,,N/A,Referral,06/04/2015,Closed with explanation,Yes,No,1394154
12/16/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,TX,76182,,N/A,Phone,12/17/2015,Closed with explanation,Yes,Yes,1707140
07/17/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,CA,92131,,N/A,Referral,07/22/2014,Closed with explanation,Yes,No,942173
05/24/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,Company believes the complaint is the result of a misunderstanding,STONEGATE MORTGAGE CORPORATION,VA,23454,,Consent not provided,Web,05/24/2015,Closed with explanation,Yes,No,1390443
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",NJ,07111,,N/A,Referral,08/16/2013,Closed with non-monetary relief,Yes,No,469799
05/04/2017,Mortgage,VA mortgage,Struggling to pay mortgage,,,,PNC Bank N.A.,AL,36587,,N/A,Postal mail,05/04/2017,Closed with explanation,Yes,N/A,2475321
05/22/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19134,,Consent not provided,Web,05/23/2017,Closed with non-monetary relief,Yes,N/A,2490991
02/19/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,FL,33759,,N/A,Web,02/19/2014,Closed with explanation,Yes,No,721000
11/27/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,PNC Bank N.A.,FL,33714,,N/A,Referral,12/03/2014,Closed with explanation,Yes,No,1134531
04/16/2017,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"I am unable to obtain my free Equifax credit report or score at all online. Equifax will not provide the report and I have no score data from them either. When I request my free credit report at XXXX, a message says that Equifax is unable to provide it and that I must send in documentation to prove my right to see my report. They want multiple hardcopies of personal identity documents in order to release my credit report.",,"EQUIFAX, INC.",GA,302XX,,Consent provided,Web,04/16/2017,Closed with non-monetary relief,Yes,No,2437392
08/20/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"I had hired XXXX after many attempts requesting loan information from a home equity loan from XXXX XXXX. After XXXX XXXX federal XXXX failed to respond and provide requested information. XXXX and XXXX removed account completely. Experien after disputing did not find anything wrong, I resubmitted dispute and they are now investing by contacting furnisher. XXXX XXXX has also reported illegal update stating this account was an open revolving line of credit. Which recently interferred with first savings denial on my home refinance application. They had asked if I intend to pay off XXXX XXXX. After they illegally closed my home at sheriff sale they continue to abuse me by punishing my credit history which controls my way of living. XXXX XXXX real estate XXXX XXXX has recently said they do not like me therefore they did not sell my home to my brother. Which I had rights as home owner to simply transfer title from very beginning.",Company chooses not to provide a public response,Experian Information Solutions Inc.,PA,189XX,,Consent provided,Web,08/25/2015,Closed with explanation,Yes,Yes,1527750
03/25/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,"My complaint is n't about phone calls, but I believe "" communication tactics '' was the closest to my complaint. My main problem is with the Debt Collection Company, the lesser complaint is with the school. 

I 'm currently in a dispute with my local community college regarding a small debt, either {$49.00} or {$79.00}, depending who I speak to. In XX/XX/XXXX I took XXXX XXXX XXXX classes and paid upfront with my credit card. One of the classes was canceled, and I was refunded the money for it. XX/XX/XXXX I received in the mail a small slip of paper saying in part : "" Dear XXXX, Please be advised you have a past due balance with XXXX for a XX/XX/XXXX XXXX ... Pay by XX/XX/XXXX '' It did not look like a bill or invoice and my name was not on the slip or the amount owed. I called the college that day and spoke to someone who could n't tell me what class I owed for or provide any of the normal information that one would find on a bill or invoice. The woman I spoke to promised she would do research and get back to me, which never happened. 

I must point out, that I 've never been a matriculated student at this college or had a student loan. I registered and paid for XXXX XXXX classes in XX/XX/XXXX, attended XXXX, the XXXX was canceled, and the money for that class refunded. Also, the paperwork seems to indicate this "" debt '' was for something in XX/XX/XXXX, and I never registered for or attended ANY classes in XXXX. When I got the notice from the debt collector, I called the contact for the college on that notice and failed to receive any meaningful information that would indicate I owed them money. The woman was "" too busy '' to explain it other than to say that XXXX people in her department looked at the paperwork and agreed I owed them money. I responded that they should send me a proper invoice if they have such paperwork. 

At any rate, they sent this alleged debt to AR Resources Inc., and their first contact with me by mail, they sent the notice to an old address. The address is from at least 25 years ago or more. The XXXX college does not have this address on their records, so I believe AR Resources Inc deliberately used an absurdly old address so I would n't get the notice. The reason I got the notice, despite the old address, is because I still live in my home town and people in the Post Office know me and where I live currently. 

I can not stress strongly enough that AR Resources Inc had to deliberately do EXTENSIVE research to find this address. It 's not a simple clerical error. The house number they used was from the pre-XX/XX/XXXX era. Not before XX/XX/XXXX, but literally before my town had XXXX service, you know? When this address was valid, if you needed the police or ambulance, you would have had to dial the XXXX DIGIT PHONE NUMBER ON A ROTARY PHONE.",Company believes it acted appropriately as authorized by contract or law,"AR Resources, Inc.",NJ,083XX,,Consent provided,Web,03/25/2015,Closed with explanation,Yes,Yes,1299885
05/07/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,REGIONS FINANCIAL CORPORATION,CA,93556,,Consent not provided,Web,05/07/2015,Closed with explanation,Yes,Yes,1364461
05/27/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",PA,19082,,N/A,Postal mail,06/09/2014,Closed with explanation,Yes,No,868341
